LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2530497314545641e+00 4.6253049731452897e+01 xlo xhi
-1.2551195373430890e+00 4.6255119537342502e+01 ylo yhi
-1.2485814740622672e+00 4.6248581474063855e+01 zlo zhi

Atoms
id type x y z
267 1 3.32288 19.6654 1.49285 
313 3 -0.332281 21.5931 -0.399745 
314 5 1.46878 21.5644 1.4866 
317 3 3.27994 21.5944 -0.384025 
937 4 -0.348608 17.9482 3.29563 
940 3 1.47844 19.686 3.32797 
941 4 3.38503 18.0021 3.35969 
989 4 -0.270925 21.5696 3.36499 
993 5 3.33858 21.5245 3.37364 
938 4 1.56547 17.9942 5.14374 
939 4 -0.255135 19.7313 5.10363 
943 1 3.35886 19.7139 5.1563 
990 4 1.48319 21.5077 5.14722 
1613 2 -0.203987 17.9475 6.96891 
1614 3 1.53862 17.9672 8.80162 
1615 3 -0.252944 19.7758 8.82009 
1616 1 1.51424 19.7704 6.99664 
1617 2 3.32001 17.9761 6.99192 
1619 1 3.34533 19.7758 8.81354 
1665 4 -0.271718 21.5299 6.97121 
1666 1 1.54374 21.5506 8.80823 
1669 5 3.38614 21.5506 6.95949 
2289 4 -0.303488 17.9382 10.6306 
2292 2 1.55868 19.7699 10.5767 
2293 4 3.35138 17.9533 10.5671 
2341 2 -0.24002 21.5849 10.6103 
2345 3 3.34315 21.6288 10.6091 
3021 1 3.39789 21.6588 14.2649 
2290 5 1.49505 17.9105 12.481 
2291 5 -0.293095 19.8119 12.4764 
3018 5 1.53706 21.6863 16.113 
3017 3 -0.245707 21.6925 14.2562 
2295 5 3.35312 19.8024 12.4738 
2971 2 3.31558 19.7847 16.0802 
2342 3 1.57305 21.657 12.4598 
2969 1 3.29902 17.9453 14.3411 
2965 2 -0.33888 17.8986 14.3312 
2966 3 1.48685 17.9325 16.1105 
2967 2 -0.331957 19.7926 16.1025 
2968 4 1.52167 19.8058 14.3238 
3641 1 -0.331292 17.9545 17.9644 
3642 1 1.44872 17.9127 19.8009 
3643 4 -0.319984 19.775 19.8039 
3644 5 1.50752 19.7537 17.9685 
3645 4 3.27365 17.8784 17.9568 
3647 2 3.31506 19.7043 19.7865 
3693 3 -0.317958 21.629 17.9992 
3694 2 1.51295 21.6234 19.8031 
3697 2 3.35562 21.6925 17.9808 
4317 4 -0.311236 17.9013 21.5472 
4320 1 1.50023 19.7746 21.5409 
4321 4 3.28059 17.9492 21.551 
4369 1 -0.290578 21.647 21.5654 
4373 2 3.31857 21.5591 21.5893 
4318 5 1.55399 17.9375 23.3808 
4319 5 -0.321108 19.7992 23.3705 
4323 1 3.30726 19.8101 23.4197 
4370 1 1.49421 21.5679 23.3687 
4993 5 -0.354115 17.9078 25.2859 
4994 1 1.51621 18.0114 27.0735 
4995 1 -0.300167 19.7769 27.0942 
4996 4 1.51992 19.804 25.2395 
4997 3 3.32651 17.989 25.2822 
4999 2 3.34614 19.7467 27.0767 
5045 4 -0.331596 21.6241 25.2312 
5046 5 1.48159 21.5792 27.1192 
5049 4 3.34336 21.5251 25.2267 
5669 3 -0.336266 17.9412 28.8359 
5670 2 1.55009 17.956 30.7063 
5671 1 -0.297031 19.73 30.6604 
5672 3 1.46502 19.7097 28.8992 
5673 1 3.35872 17.9669 28.8378 
5675 2 3.33035 19.7393 30.6613 
5721 3 -0.324323 21.6119 28.9563 
5722 3 1.52989 21.5727 30.6039 
5725 2 3.36321 21.5626 28.8739 
6345 3 -0.33869 17.9359 32.5244 
6348 2 1.5459 19.7464 32.5169 
